Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Murder,"Real Boss, BIG KAY SMG",Murder,1i6h3Xs1qunoQAO7N2XHVg,0uMY0ZOYpXKHPxuakVtQzs,72,2022-10-21,182763,True,https://open.spotify.com/track/0uMY0ZOYpXKHPxuakVtQzs,0.928,0.568,0,-4.022,1,0.315,0.182,0.0,0.129,0.513,95.251
Safety Off,Shubh,Leo,1h0Yw7Wm49GGiGpN2gd3o2,3NwmvlTYDZPRBGDMGgJH8K,71,2024-01-05,143200,True,https://open.spotify.com/track/3NwmvlTYDZPRBGDMGgJH8K,0.749,0.571,1,-9.111,0,0.0504,0.0163,8.41e-06,0.136,0.329,90.014
SPAIN,"Jassa Dhillon, thiarajxtt",VIBIN,2GPHbR6aZ2rZooX6dF1nwB,4ZVtid5khBfDx6Co0vTUE6,70,2023-01-09,104007,False,https://open.spotify.com/track/4ZVtid5khBfDx6Co0vTUE6,0.73,0.673,6,-6.625,1,0.0685,0.324,0.0201,0.098,0.563,90.058
Ve Haaniyaan,"Danny, Avvy Sra, Sagar",Ve Haaniyaan,6ViHWV1ADObbcYBF7Aq1B5,2C6CJGFLbisteRuY6Plb7b,78,2024-01-19,240000,False,https://open.spotify.com/track/2C6CJGFLbisteRuY6Plb7b,0.786,0.54,2,-5.622,1,0.0264,0.824,4.31e-05,0.123,0.82,108.032
One Love,Shubh,One Love,3tNH9Fp4dm3qa3Kr4cv5uJ,5ZLkihi6DVsHwDL3B8ym1t,79,2023-08-18,159222,False,https://open.spotify.com/track/5ZLkihi6DVsHwDL3B8ym1t,0.848,0.512,7,-7.757,1,0.118,0.284,0.00645,0.101,0.881,144.926
White Brown Black,"Avvy Sra, Karan Aujla, Jaani",White Brown Black,3rOSq53b9Cv7ygKe5NwKNJ,3nKQrVVlwbAQSnFbgZWdN0,75,2022-12-09,176000,False,https://open.spotify.com/track/3nKQrVVlwbAQSnFbgZWdN0,0.868,0.748,1,-3.492,0,0.0951,0.29,3.93e-06,0.252,0.829,119.965
Case,"Diljit Dosanjh, Intense",Ghost,1d1FYLFpu2NITI6ilVaHDd,0TdWXMXyfTQ2qp5vvU9LID,71,2023-09-29,135500,False,https://open.spotify.com/track/0TdWXMXyfTQ2qp5vvU9LID,0.856,0.811,10,-5.737,0,0.253,0.0591,4.02e-05,0.0494,0.767,151.971
angels,"HRJXT, Intense",Twenty Two,34nk7eSVjDXZOvLQy8M8n5,1tzMa1ma7O05lIgr4XKia8,60,2022-02-22,204545,False,https://open.spotify.com/track/1tzMa1ma7O05lIgr4XKia8,0.721,0.746,4,-5.135,0,0.0637,0.0241,0.0,0.143,0.23,175.813
Cheques,Shubh,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,4eBvRhTJ2AcxCsbfTUjoRp,78,2023-05-19,183757,False,https://open.spotify.com/track/4eBvRhTJ2AcxCsbfTUjoRp,0.742,0.627,4,-8.939,0,0.0533,0.262,1.23e-05,0.269,0.356,89.998
Kamlee,"SARRB, Starboy X",Kamlee,2yTk24mhG0VYWFY7bj9mLJ,7xpZ1artTVaHabv93yK77N,26,2023-05-25,209032,False,https://open.spotify.com/track/7xpZ1artTVaHabv93yK77N,0.56,0.628,7,-7.36,0,0.131,0.298,0.000142,0.0556,0.622,93.178
Chandigarh Ka Chokra,Sunanda Sharma,Chandigarh Ka Chokra,3VWQigEYk4sOaiLNileTP4,0n2LpEAixGBWK8mwUSGtGb,71,2023-11-09,144155,False,https://open.spotify.com/track/0n2LpEAixGBWK8mwUSGtGb,0.791,0.486,0,-7.684,1,0.271,0.0574,0.0,0.117,0.438,140.121
Daku,"Chani Nattan, Inderpal Moga",Daku,3RaIXDlIRvziryGLXm8lBR,3wz2vWhYnnBoFmgMkqtzLy,72,2021-01-16,131078,False,https://open.spotify.com/track/3wz2vWhYnnBoFmgMkqtzLy,0.847,0.56,8,-5.855,0,0.066,0.323,0.0,0.137,0.502,98.061
Check It Out,"Parmish Verma, Paradox",Check It Out,1vF3ag997oVOcaSYVlFytV,4VosVUajzm6nzGlSb6nP3L,74,2023-06-27,195957,False,https://open.spotify.com/track/4VosVUajzm6nzGlSb6nP3L,0.923,0.705,8,-4.548,0,0.26,0.0992,4.12e-06,0.198,0.587,94.022
Lemonade,Diljit Dosanjh,Drive Thru,6KgPhunJItRDOhJFh6Sy78,3ZGJhN4unVspOqpwGvUL2W,73,2022-07-15,166667,False,https://open.spotify.com/track/3ZGJhN4unVspOqpwGvUL2W,0.789,0.744,1,-7.245,1,0.0414,0.281,0.0,0.0763,0.783,143.998
With You,AP Dhillon,With You,30eM1PJ8qLZJeEykhcje0j,0xIuPDzJSnJywALez8dwKR,75,2023-08-11,154554,False,https://open.spotify.com/track/0xIuPDzJSnJywALez8dwKR,0.78,0.744,2,-4.773,1,0.0298,0.161,0.0011,0.201,0.925,116.978
Jatt Vailly,"Diljit Dosanjh, thiarajxtt",Ghost,1d1FYLFpu2NITI6ilVaHDd,18kRElgBSIAsd3DHPUajuI,66,2023-09-29,151990,False,https://open.spotify.com/track/18kRElgBSIAsd3DHPUajuI,0.868,0.523,7,-7.487,1,0.058,0.052,1.36e-05,0.22,0.799,98.038
Rubicon Drill,"Laddi Chahal, Parmish Verma, Gurlez Akhtar",Forever,4qlI6YM61j9NeGe832mExq,03yKEFruN3BS2coglBtt2N,72,2022-11-16,188571,False,https://open.spotify.com/track/03yKEFruN3BS2coglBtt2N,0.868,0.745,11,-5.82,0,0.268,0.187,0.000342,0.431,0.762,139.9
Koka,"Mankirt Aulakh, Simar Kaur",Koka,1LpS06pxJRRmE3DzEpywe3,1ExaQYPap38faw3FEqKcGY,69,2023-11-06,190000,False,https://open.spotify.com/track/1ExaQYPap38faw3FEqKcGY,0.68,0.874,7,-3.593,0,0.445,0.2,0.0,0.218,0.716,167.974
Still Rollin,Shubh,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,6oz1L5jcqZWYuId7nxvIan,76,2023-05-19,174730,False,https://open.spotify.com/track/6oz1L5jcqZWYuId7nxvIan,0.881,0.431,6,-11.093,0,0.0914,0.182,0.0018,0.113,0.246,94.0
P.O.V (Point of View),"Karan Aujla, Yeah Proof",P.O.V (Point of View),65vqiJwNrkv0it9fclatIK,6h5cT4n75VWK95VDW07EFw,65,2023-04-24,185870,False,https://open.spotify.com/track/6h5cT4n75VWK95VDW07EFw,0.72,0.59,6,-6.521,0,0.335,0.0447,0.0,0.116,0.527,91.915
Lalkara,"Diljit Dosanjh, Intense, Sultaan",Ghost,1d1FYLFpu2NITI6ilVaHDd,2oenSXLDbWVaaL7QjSGYj5,75,2023-09-29,160500,False,https://open.spotify.com/track/2oenSXLDbWVaaL7QjSGYj5,0.85,0.557,0,-4.503,0,0.0431,0.0365,2.08e-06,0.131,0.468,96.99
Try Me,"Karan Aujla, Ikky",Making Memories,3BGU0BqGwBkYDHpfCWFm7I,5RaK2eqyHaBSyjEtI27w3T,67,2023-08-18,195361,False,https://open.spotify.com/track/5RaK2eqyHaBSyjEtI27w3T,0.627,0.876,1,-4.857,1,0.0642,0.00601,0.0,0.65,0.397,97.244
My Prime,"Navaan Sandhu, bebhumika",Naveezy,197b84cjuJyHeDzGwzjXVn,37fGKxktN2ZOEDWJ7RLABh,1,2023-08-22,250435,False,https://open.spotify.com/track/37fGKxktN2ZOEDWJ7RLABh,0.698,0.765,2,-3.999,0,0.0597,0.343,0.0,0.118,0.523,91.991
Tareefan,"Jordan Sandhu, Mehar Vaani",Tareefan,36Bplz54txKmm4xAJoUGcg,4hYKmQvLi2yaFAd7Kx07Vp,68,2023-08-19,192000,False,https://open.spotify.com/track/4hYKmQvLi2yaFAd7Kx07Vp,0.74,0.628,7,-5.348,1,0.0999,0.0629,0.0,0.0826,0.639,80.003
Afterhours,"Bir, Dhanju, thiarajxtt",Afterhours,0gutaa3BZpZvwSL0eVRbP8,7o1SDLghDwMc4OW3rKakVt,71,2022-07-06,140153,False,https://open.spotify.com/track/7o1SDLghDwMc4OW3rKakVt,0.772,0.703,11,-7.73,0,0.122,0.211,0.00122,0.129,0.48,90.036
Admirin' You (feat. Preston Pablo),"Karan Aujla, Ikky, Preston Pablo",Admirin' You (feat. Preston Pablo),2rSFhbKldPsvtXI5IuseAF,6NJ8Z5GDoHe47R6gGX6sLq,67,2023-08-01,214750,False,https://open.spotify.com/track/6NJ8Z5GDoHe47R6gGX6sLq,0.756,0.664,1,-6.227,1,0.0851,0.0935,0.0,0.104,0.675,96.018
Baller,"Shubh, Ikky",Baller,44aCFqUbG06fL58kqpMp8p,42TMa2hgBNjte4uV7jNCnQ,73,2022-09-09,148188,False,https://open.spotify.com/track/42TMa2hgBNjte4uV7jNCnQ,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219
Players,"Badshah, Karan Aujla, Devika Badyal",Players,2ap6wepv8WNqHCxJiclPIL,5TjVLCESR9XIp5vDAWYfmi,62,2022-12-21,171273,True,https://open.spotify.com/track/5TjVLCESR9XIp5vDAWYfmi,0.833,0.678,9,-3.711,0,0.141,0.464,0.0,0.107,0.576,109.969
Top Flame,JERRY,Top Flame,2DcComXPapapQcGrNSuPkt,3u6jK5KR1ijBCUs4CLzV9c,64,2023-09-20,164525,False,https://open.spotify.com/track/3u6jK5KR1ijBCUs4CLzV9c,0.818,0.403,1,-9.378,1,0.151,0.0611,0.0,0.0641,0.784,95.994
True Stories,"AP Dhillon, Shinda Kahlon",True Stories,7JABHOzxcWGwmihIUq13dl,28lvraTNIN8qiTpoIK7m8Z,72,2023-06-16,117973,False,https://open.spotify.com/track/28lvraTNIN8qiTpoIK7m8Z,0.725,0.658,1,-8.906,1,0.268,0.299,7.38e-05,0.209,0.443,147.936
Obsessed,"Riar Saab, Abhijay Sharma",Obsessed,3LyafXRRJVEfcjTMr1N8Mu,6Z4rRhYZVQsYKmrxD40tru,71,2022-09-29,190444,False,https://open.spotify.com/track/6Z4rRhYZVQsYKmrxD40tru,0.798,0.74,5,-4.099,0,0.0861,0.616,0.0,0.084,0.851,134.932
Chorni,"DIVINE, Sidhu Moose Wala",Chorni,5zGHPCBVVX3L7UADaS2AQ8,3GEiVoaUXq468gfYs2EPfh,71,2023-07-07,181000,False,https://open.spotify.com/track/3GEiVoaUXq468gfYs2EPfh,0.782,0.676,7,-6.712,1,0.339,0.133,0.0,0.122,0.615,90.447
Rank 1,"Jordan Sandhu, Desi Crew",Never Before,3YFTFdg3bhcB8XAg85Rugh,7piFoYCgGN0w8vxukuCrvP,56,2023-05-02,179155,False,https://open.spotify.com/track/7piFoYCgGN0w8vxukuCrvP,0.693,0.716,9,-5.167,0,0.0698,0.389,0.0,0.425,0.826,141.893
JOURNEY,"Amrit Maan, Mxrci",GLOBAL WARNING,2mMcWfQX3I83kRaT4psGLg,1SYgmpUc80vRIXbxEzVLBi,56,2023-07-31,174986,False,https://open.spotify.com/track/1SYgmpUc80vRIXbxEzVLBi,0.59,0.742,0,-6.871,1,0.0574,0.071,0.0,0.328,0.357,89.949
Aam Jahe Munde,"Parmish Verma, PARDHAAN, Desi Crew",Aam Jahe Munde,0VtFj2jJ3PosFrLHbE7TJX,32VAw8DL9ixX5XSW2VLcZ4,75,2020-05-02,207839,False,https://open.spotify.com/track/32VAw8DL9ixX5XSW2VLcZ4,0.876,0.575,8,-6.044,0,0.135,0.308,0.0,0.214,0.716,91.989
Attraction,"Sukha, Prodgk",Attraction,2916WaelFJZ8rzD77tVjnZ,0biuGbhZwYnuUwMOi4fvaN,69,2023-07-14,183169,False,https://open.spotify.com/track/0biuGbhZwYnuUwMOi4fvaN,0.691,0.551,7,-7.225,0,0.0985,0.751,9.93e-05,0.105,0.389,91.08
Ayee,"Harnoor, Jassa Dhillon, Ilam",Ayee,0kk2Nm0O28gQLXVhaznomg,3s6bB02odIXvM3OpnqgzNN,68,2023-09-21,146526,False,https://open.spotify.com/track/3s6bB02odIXvM3OpnqgzNN,0.869,0.521,11,-9.376,0,0.162,0.567,0.0,0.101,0.485,94.981
Rubicon,"Prem Dhillon, Rass",Rubicon,78eM6G2sL4H255Zq1UslaJ,3xsUWTwx4m4cYgpueIPOWi,64,2023-08-10,251918,False,https://open.spotify.com/track/3xsUWTwx4m4cYgpueIPOWi,0.694,0.66,11,-4.535,0,0.162,0.167,0.0,0.14,0.581,145.735
Showstopper,JERRY,Showstopper,1KVirmPrDEhMyG54GfSSWz,64mInfKzmJIbuTvcnhRgfW,68,2023-07-21,146062,True,https://open.spotify.com/track/64mInfKzmJIbuTvcnhRgfW,0.808,0.593,10,-6.311,0,0.0351,0.347,0.000223,0.113,0.299,99.988
Nimm Thalle,"Jordan Sandhu, Desi Crew",Nimm Thalle,3JR6MsMhr1UbXpSNGAD05v,31YZi2MZoP2CszakCUG9NO,60,2023-08-30,180000,False,https://open.spotify.com/track/31YZi2MZoP2CszakCUG9NO,0.801,0.578,8,-5.499,0,0.328,0.251,0.0,0.444,0.678,80.086
Dior,Shubh,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,53QrRlALFJfZgdcGLKwy5s,73,2023-05-19,139134,False,https://open.spotify.com/track/53QrRlALFJfZgdcGLKwy5s,0.967,0.362,5,-11.374,0,0.159,0.514,0.00637,0.124,0.633,115.974
Thaa,"Varinder Brar, Rav Dhaliwal, Ultra Beats",Thaa,6u5RdRVp5HBStyPRWvHcgm,2NmBCDkjvJVvEZkH5QDOeb,70,2023-03-25,181340,False,https://open.spotify.com/track/2NmBCDkjvJVvEZkH5QDOeb,0.663,0.704,6,-5.635,0,0.0934,0.306,0.0,0.0924,0.881,89.278
Do You Know,Diljit Dosanjh,Do You Know,0VL0XINwpFeZZZthg65ASA,1aHRhPwlNTNdMsDcYicxb6,63,2016-10-20,212471,False,https://open.spotify.com/track/1aHRhPwlNTNdMsDcYicxb6,0.585,0.687,1,-4.62,0,0.061,0.344,0.0,0.15,0.271,169.891
Ice,Shubh,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,5bnfUWFS4sVeWx1JLA3K9Z,64,2023-05-19,174193,False,https://open.spotify.com/track/5bnfUWFS4sVeWx1JLA3K9Z,0.725,0.565,2,-9.999,1,0.0625,0.0257,5.2e-06,0.462,0.328,89.939
Take It Easy,"Karan Aujla, Ikky",Four You,5IVcvfVOLEPMJ4PKqPaq2w,5si4xdFplkXAydKfFe1xXa,70,2023-02-04,210361,False,https://open.spotify.com/track/5si4xdFplkXAydKfFe1xXa,0.64,0.707,1,-4.803,1,0.0541,0.144,0.0,0.399,0.411,82.973
Pagol,"Deep Jandu, Bohemia",Pagol,3P5a2FJ0k7RWBlWKWSl5T7,7MpfARGQRFqZxHEWLBjDkx,67,2019,219336,False,https://open.spotify.com/track/7MpfARGQRFqZxHEWLBjDkx,0.719,0.498,1,-4.563,0,0.347,0.282,0.0,0.0999,0.892,169.938
Todh,"Prince Narula, Munawar Faruqui, Rony Ajnali",Todh,1Bizgnf47ZtwxKiQtTDMrx,7FVgT8XjxUSfKuZuHxg316,67,2022-11-05,236800,False,https://open.spotify.com/track/7FVgT8XjxUSfKuZuHxg316,0.549,0.748,9,-6.521,0,0.384,0.402,0.0,0.298,0.781,149.722
Moon Rise,"Guru Randhawa, Sanjoy",Man Of The Moon,0jasm0jnhQ6Y6OUYTI1NL6,3oWv5qDKYN7MH6FdlglMN5,70,2022-08-22,174057,False,https://open.spotify.com/track/3oWv5qDKYN7MH6FdlglMN5,0.756,0.713,3,-6.91,0,0.122,0.365,0.000153,0.228,0.597,92.039
Her,Shubh,Her,17kCYpIx9cO6WEt3B7795R,6biqkuWq069vByAEeGxZlr,70,2022-11-30,154080,False,https://open.spotify.com/track/6biqkuWq069vByAEeGxZlr,0.676,0.447,11,-8.827,0,0.0942,0.201,0.0,0.135,0.567,84.715
52 Bars,"Karan Aujla, Ikky",Four You,5IVcvfVOLEPMJ4PKqPaq2w,6rFckZb1cuJYzsZiGHgqks,68,2023-02-04,214024,True,https://open.spotify.com/track/6rFckZb1cuJYzsZiGHgqks,0.449,0.779,1,-3.321,0,0.205,0.000898,0.0,0.389,0.433,115.231
Gall Khaas,Zehr Vibe,Gall Khaas,6zhGxMXaDxizCLjNoIvMw8,7J5V3MlzpfSF6jEchkfxB6,67,2022-03-02,160200,False,https://open.spotify.com/track/7J5V3MlzpfSF6jEchkfxB6,0.866,0.707,9,-7.34,0,0.132,0.0742,0.0,0.0852,0.294,99.997
ELEVATED,Shubh,ELEVATED,7tK9pQYQGTEduNW5i6V24t,6btas8Eignhw8yKp4VJvGi,0,2022-03-12,200659,True,https://open.spotify.com/track/6btas8Eignhw8yKp4VJvGi,0.831,0.533,6,-5.777,0,0.0897,0.212,3.25e-05,0.306,0.604,93.034
Dilawara,"The PropheC, Ezu",Dilawara,6Q9uRhFdTKxWGItb71JcQh,1C6auFaK08OhOTJ8bfrAiG,65,2023-03-08,222827,False,https://open.spotify.com/track/1C6auFaK08OhOTJ8bfrAiG,0.675,0.653,7,-7.504,0,0.0552,0.0815,0.00049,0.16,0.132,91.017
Dekhya Kite,"Davy, Gur Sidhu, Simar Kaur",Dekhya Kite,2zPnY5L7hwCjuYmpuCCAO5,07X7p4jFhHEECps5IBKQ3c,65,2022-10-12,182000,False,https://open.spotify.com/track/07X7p4jFhHEECps5IBKQ3c,0.779,0.533,5,-7.371,1,0.0563,0.171,2.09e-06,0.32,0.457,144.992
Shape,Kaka,Another Side,3wd8Hr4S8649tc3kTuy3ch,0j9Y4rbP8dkNipKoCR1gva,67,2023-01-15,197892,False,https://open.spotify.com/track/0j9Y4rbP8dkNipKoCR1gva,0.843,0.701,11,-4.492,0,0.0927,0.143,1.09e-06,0.334,0.435,103.021
On Top,Karan Aujla,On Top,3F9ZTXMumebU1qkltpEqg1,1RT06dWvxSC13JY6WnQmb5,0,2022-11-25,183429,False,https://open.spotify.com/track/1RT06dWvxSC13JY6WnQmb5,0.832,0.749,3,-5.431,0,0.126,0.0186,0.0,0.111,0.695,139.994
Top Notch Gabru,Vicky,Top Notch Gabru,00ZQAJAlj1QPNEm8hfHJDG,5ACacHdqtOjENeTgh4qfmy,61,2021-06-25,158294,False,https://open.spotify.com/track/5ACacHdqtOjENeTgh4qfmy,0.716,0.77,3,-4.071,0,0.158,0.144,0.0,0.0211,0.924,170.045
295,Sidhu Moose Wala,Moosetape,45ZIondgVoMB84MQQaUo9T,5W7DOVGQLTigu09afW7QMT,74,2021-05-15,270000,False,https://open.spotify.com/track/5W7DOVGQLTigu09afW7QMT,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366
Peaches,Diljit Dosanjh,Drive Thru,6KgPhunJItRDOhJFh6Sy78,3mZLiEDAHIjZ8ms5Lxq33F,67,2022-07-15,189176,False,https://open.spotify.com/track/3mZLiEDAHIjZ8ms5Lxq33F,0.663,0.478,4,-7.265,0,0.185,0.095,0.0,0.0705,0.341,85.264
Sheesha,Karan Aujla,Sheesha,1qTxGh6NP5XUoN52jA3BB1,5uHy68Q7ZWe8Qq9k7EAprS,61,2022-08-29,160851,False,https://open.spotify.com/track/5uHy68Q7ZWe8Qq9k7EAprS,0.708,0.672,6,-7.493,0,0.0582,0.322,0.0,0.135,0.399,93.886
Dil Nu,"AP Dhillon, Shinda Kahlon",Two Hearts Never Break The Same,0eZKTY3yDMqMTrVvtcEokh,7AsG1F1eMWd17RYan8M3Wm,70,2022-10-07,233666,False,https://open.spotify.com/track/7AsG1F1eMWd17RYan8M3Wm,0.811,0.655,1,-7.118,0,0.0353,0.0947,1.63e-06,0.068,0.925,117.979
Taur,Lopon Sidhu,Sidhuan De Munde,3oTPgv4PbK4loiyz4yT2pZ,3Zkd2rqCq0MuJXoVTMmg08,55,2022-08-12,168743,False,https://open.spotify.com/track/3Zkd2rqCq0MuJXoVTMmg08,0.8,0.649,9,-7.333,1,0.287,0.119,0.0,0.104,0.492,95.952
These Days (feat. Bohemia),"Sidhu Moose Wala, Bohemia",Moosetape,45ZIondgVoMB84MQQaUo9T,2zQE8TE5BQDJA11ggnope9,69,2021-05-15,209231,False,https://open.spotify.com/track/2zQE8TE5BQDJA11ggnope9,0.73,0.748,6,-4.371,0,0.152,0.0936,0.0,0.282,0.694,155.861
GODSPEED,Tyson Sidhu,GODSPEED,7JCjmMD0sZ2kk1oXdh83z0,7d4ZrG3Cer7jbqIl6wOI6D,59,2022-07-12,127200,False,https://open.spotify.com/track/7d4ZrG3Cer7jbqIl6wOI6D,0.887,0.673,1,-5.576,1,0.138,0.309,0.0,0.174,0.759,100.012
Everybody Hurts,Sidhu Moose Wala,No Name,57SIarHHgfby4AvV6ftCB5,1w3exvIgbRFV2ijf6qyWm8,70,2022-04-25,173333,False,https://open.spotify.com/track/1w3exvIgbRFV2ijf6qyWm8,0.738,0.599,8,-7.102,1,0.0393,0.434,0.0,0.13,0.575,120.052
