Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,0SqUi6bPIlAaWfvZibBfia,5bi0gh89wRuH2OgjdAKFsb,93,2024-04-04,193039,False,https://open.spotify.com/track/5bi0gh89wRuH2OgjdAKFsb,0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993
Home,Good Neighbours,Home,50ca61DooG00KrVCwMLVRl,6dpLxbF7lfCAnC9QRTjNLK,88,2024-01-17,157486,False,https://open.spotify.com/track/6dpLxbF7lfCAnC9QRTjNLK,0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002
obsessed,Olivia Rodrigo,GUTS (spilled),1D06fz3cuob62ysTS8k6gu,6tNgRQ0K2NYZ0Rb9l9DzL8,88,2024-03-22,170542,True,https://open.spotify.com/track/6tNgRQ0K2NYZ0Rb9l9DzL8,0.68,0.581,8,-5.166,1,0.106,0.0181,1.07e-06,0.276,0.63,119.974
Whatever She Wants,Bryson Tiller,Whatever She Wants,60s0PMYFJhe34io9HuyUXf,57wp7VFnV8X0pSVnYArGeJ,89,2024-02-13,161342,True,https://open.spotify.com/track/57wp7VFnV8X0pSVnYArGeJ,0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02
ADIVINO,"Myke Towers, Bad Bunny",ADIVINO,3sRyLQf04m9vm40JNRFiCl,0LZy30mVmxqUpdQmaXKXBd,90,2024-04-25,278644,True,https://open.spotify.com/track/0LZy30mVmxqUpdQmaXKXBd,0.786,0.854,10,-2.4,0,0.0741,0.169,2.39e-05,0.106,0.522,117.994
redrum,21 Savage,american dream,2RRYaYHY7fIIdvFlvgb5vq,52eIcoLUM25zbQupAZYoFh,91,2024-01-12,270698,True,https://open.spotify.com/track/52eIcoLUM25zbQupAZYoFh,0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09
These Walls,Dua Lipa,Radical Optimism,1Mo92916G2mmG7ajpmSVrc,7b6sWLSnbZhSIeqNGrJ4py,84,2024-05-03,217784,True,https://open.spotify.com/track/7b6sWLSnbZhSIeqNGrJ4py,0.731,0.725,1,-5.117,1,0.0349,0.0361,2.49e-05,0.106,0.739,123.01
I Don't Wanna Wait,"David Guetta, OneRepublic",I Don't Wanna Wait,0wCLHkBRKcndhMQQpeo8Ji,331l3xABO0HMr1Kkyh2LZq,88,2024-04-05,149668,False,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq,0.681,0.714,1,-4.617,0,0.0309,0.0375,0.0,0.232,0.554,129.976
favorite,Isabel LaRosa,favorite,6pngQ1BGnsddTXtAJQUkF7,3QJsSWa0Xo8MfaRn1gr4Be,88,2024-03-29,133608,False,https://open.spotify.com/track/3QJsSWa0Xo8MfaRn1gr4Be,0.726,0.652,10,-5.328,0,0.0779,0.00323,0.003,0.0905,0.625,97.032
Whatever,"Kygo, Ava Max",Whatever,2DoFm78vsYw31kJRzvIP4l,0LMwmV37RCmBO2so0szAFs,89,2024-01-19,178273,False,https://open.spotify.com/track/0LMwmV37RCmBO2so0szAFs,0.58,0.777,3,-5.69,1,0.0655,0.104,0.0,0.342,0.589,108.005
Push Ups,Drake,Push Ups,06me0leRR3AuF4IFiEytml,3eh51r6rFWAlGQRlHx9QnQ,90,2024-04-19,232774,True,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,0.598,0.696,2,-4.789,1,0.112,0.0153,0.0,0.219,0.209,91.057
Jump,"Tyla, Gunna, Skillibeng",Jump,4xbpCWaXMdAaDvEKAi02PX,0ve0CavjqrUqVmZ605RhTV,80,2024-03-20,147071,False,https://open.spotify.com/track/0ve0CavjqrUqVmZ605RhTV,0.79,0.716,10,-3.446,0,0.0929,0.0297,1.87e-05,0.213,0.627,100.104
Magnetic,ILLIT,SUPER REAL ME,6irebIc6UO8fN0jl4UlzBS,1aKvZDoLGkNMxoRYgkckZG,93,2024-03-25,160688,False,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,3vkCueOmm7xQDoJ17W1Pm3,93,2023-09-15,137773,False,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,6PbnGueEO6LGodPfvNldYf,4KULAymBBJcPRpk1yO4dOG,91,2023-08-25,227196,False,https://open.spotify.com/track/4KULAymBBJcPRpk1yO4dOG,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639
Standing Next to You,Jung Kook,GOLDEN,5pSk3c3wVwnb2arb6ohCPU,2KslE17cAJNHTsI2MI0jb2,91,2023-11-03,206020,False,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017
vampire,Olivia Rodrigo,vampire,5kqfR7EuGbyp8x27Pr1kY9,3k79jB4aGmMDUQzEwa46Rz,19,2023-06-30,219724,True,https://open.spotify.com/track/3k79jB4aGmMDUQzEwa46Rz,0.484,0.53,5,-5.82,1,0.054,0.148,0.0,0.283,0.319,136.874
